"AppID","Name","Achievements"
"427270","Orcs Must Die! Unchained","132"
"849740","Love Esquire - RPG/Dating Sim/Visual Novel","131"
"862110","Super Jigsaw Puzzle: Cities","131"
"599460","Weapon Shop Fantasy","131"
"755410","Vengeful Rites","130"
"658160","ClickRaid","130"
"228280","Baldur's Gate: Enhanced Edition","129"
"1520850","Mess Adventures 2","129"
"1235110","Rising Star 2","129"
"730870","Burger Shop 2","128"
"567580","Duke of Alpha Centauri","128"
"1794680","Vampire Survivors","127"
"1328670","Mass Effect™ Legendary Edition","127"
"586830","Mighty Monster Mayhem","127"
"265930","Goat Simulator","127"
"238960","Path of Exile","127"
"862740","OneShift","126"
"1146170","KingSim","125"
"306020","Bloons TD 5","125"
"468920","Ultimate Fishing Simulator","125"
"572620","Pierhead Arcade 2","124"
"758370","Through the Ages","124"
"1321440","Cassette Beasts","123"
"880130","Lawless Lands","122"
"98800","Dungeons of Dredmor","122"
"1867510","WrestleQuest","122"
"253510","WARMACHINE: Tactics","121"
"402570","Atlas Reactor","121"
"685130","Radar Defense","120"
"710190","Puzzle Sisters Foer","120"
"1512050","World Turtles","120"
"353130","Time of Dragons","120"
"650110","Princess Maker 3: Fairy Tales Come True","119"
"1240440","Halo Infinite","119"
"506870","Unexplored","119"
"704640","Evolution of Ages: Settlements","116"
"596650","Tap Adventure: Time Travel","116"
"339250","Winged Sakura: Endless Dream","116"
"676500","Time Warpers","115"
"392110","ENDLESS™ Space 2","115"
"459830","Final Days","115"
"323190","Frostpunk","115"
"644560","Mirror","114"
"827270","Bounty Hunter: Space Detective","114"
"1100620","Football Manager 2020 Touch","114"
"2013240","修仙家族模拟器","114"
"1249060","MyCompany996","113"
"2014740","Last Devil - Family Friendly","113"
"823280","STE : Save The Earth","112"
"374050","Infinium Strike","112"
"2218400","Greedland","112"
"763350","Slime Sports","111"
"1189630","Path Of Wuxia","111"
"209850","Highborn","111"
"1737340","Noobs Want to Live","111"
"347060","Pro Basketball Manager 2016","110"
"332070","School of Dragons","110"
"1081450","Criminal Dissidia","110"
"589220","UAYEB: The Dry Land - Episode 1","109"
"618140","Barro","109"
"635250","Evil Genome 光明重影","109"
"414190","Junk Jack","109"
"329110","Gems of War - Puzzle RPG","108"
"588650","Dead Cells","108"
"878660","Build buildings","108"
"1850510","TRIANGLE STRATEGY","108"
"1599330","Wildmender","108"
"753660","AtmaSphere","107"
"550200","World Destroyers","106"
"17500","Zombie Panic! Source","106"
"1109360","Hentai Mosaique Fix-IT Shoppe","106"
"915580","Dungeon Hunter Champions","106"
"850830","Adventure in Kana Village","105"
"1463120","College Kings - Act I","104"
"105600","Terraria","104"
"265610","Epic Battle Fantasy 4","104"
"1005930","Timeflow – Life Sim","103"
"333420","Cossacks 3","103"
"751780","Forager","103"
"821880","Idol Manager","102"
"872820","Football Manager 2019 Touch","102"
"240660","Rain Blood Chronicles: Mirage","102"
"298050","Master of Orion","102"
"1217060","Gunfire Reborn","102"
"649900","Mini Guns - Omega Wars","102"
"2356500","Cats Hidden in Bali","102"
"2551170","Cats Hidden in Maple Hollow 🍂","102"
"365360","Battle Brothers","101"
"1929870","Nomad Survival","101"
"575700","Fruit Arranger","101"
"547680","Guild Quest","101"
"1659420","UNCHARTED™: Legacy of Thieves Collection","101"
"924740","Beyond Senses","100"
"1808480","Poly Puzzle: Cats","100"
"883130","New Star Manager","100"
"1583650","Beautiful Girls","100"
"1299120","Mosaique Neko Waifus 2","100"
"1804390","Key","100"
"960820","Data mining 2","100"
"1006920","Pull Ball","100"
"1236700","Goddess of Hentai","100"
"1786280","Puzzle Art: Primates","100"
"1192500","GraFi Christmas","100"
"1314290","How To Punish A Witch","100"
"1678450","StOoPiD Puzzle Game","100"
"1021260","Chocolate makes you happy: St.Patrick's Day","100"
"1750740","战棋三国英雄","100"
"916510","Running Man 3D Part2","100"
"1036910","€100","100"
"1158320","Hentai: Memory leak","100"
"1876150","Melania","100"
"932940","Seems good archery game","100"
"1086490","First Customer","100"
"1471530","100 hidden gnomes","100"
"1585130","VERSUS: The Deathscapes","100"
"1447490","Hentai Chicks 2","100"
"714010","Aim Lab","100"
"1897000","Pow! 2","100"
"1385730","Mosaique Neko Waifus 3","100"
"1022280","CosPuzzle","100"
"906880","goto","100"
"939620","Pleasure Puzzle:Portrait 趣拼拼：肖像画","100"
"911230","Running Man 3D","100"
"1786300","Puzzle Art: Rodents","100"
"884900","Slider","100"
"1085560","Hentai energy II","100"
"1086450","Oik Memory: Endgame","100"
"1786270","Puzzle Art: Predators","100"
"1540330","MUMBA IV: Egypt Jewels ©","100"
