"AppID","Name","Price"
"1913550","Aces Under the Moonlight™","0,00"
"1535420","Stream Toys by Zokya","0,00"
"1871390","VSS - Virtual Streaming Software","0,00"
"1915740","Siren's Call","0,00"
"1421410","Nectar of the Gods","0,00"
"1559930","Dialogue Box: The Road Less Traveled","0,00"
"612590","Mouse Playhouse","0,00"
"700170","Deserving Life","0,00"
"113420","Fallen Earth Classic","0,00"
"454540","LuckCatchers","0,00"
"529780","Disturbed","0,00"
"753090","Marius","0,00"
"1136240","Crowd Control","0,00"
"450390","The Lab","0,00"
"1245930","Flaming Friday Night","0,00"
"1497800","Armored Front Playtest","0,00"
"1604460","JAM GODS Playtest","0,00"
"2012200","RhyVerse Playtest","0,00"
"1409190","Super Walrus Entertainment System","0,00"
"1755240","Moon Runner","0,00"
"1131750","Alien Squatter","0,00"
"1362830","Bomber Dudes","0,00"
"1331530","Paws and Soul: First Step","0,00"
"1837980","Our Elusive Suffering","0,00"
"1241700","There Is No Game: Jam Edition 2015","0,00"
"1715840","25 Layers of Pain","0,00"
"1577450","Nyaa-kuza!!","0,00"
"1635550","Truck Mechanic: Dangerous Paths - Prologue","0,00"
"485630","Brazed","0,00"
"948850","魔神之战","0,00"
"391210","Arclight Cascade","0,00"
"1241500","Dirty Harry's Thunder Drive","0,00"
"1624200","Thin Wick Playtest","0,00"
"1515990","Dizzy Two","0,00"
"908010","Farjob","0,00"
"1060560","GNRBLEX","0,00"
"1557100","Out Of The Shelter","0,00"
"1925100","illumizzle: Finding the lost light","0,00"
"1843350","RUKIMIN's Disappointing Adventure!","0,00"
"707010","Will To Live Online","0,00"
"1905810","SCP: Vacation","0,00"
"1753090","CYBERDAD","0,00"
"1180520","Andromeda One","0,00"
"729950","Witch Hunters: Full Moon Ceremony Collector's Edition","0,00"
"1509420","Operation Airsoft Beta","0,00"
"1494790","Crashers of Aetheria Playtest","0,00"
"1547990","Vivian's Kurse","0,00"
"694060","Ignis Universia: Eternal Sisters Saga DX","0,00"
"872220","Delta-G","0,00"
"795640","VINDICTA Arcade","0,00"
"1604350","Wonhon: The Beginning","0,00"
"686910","Delirium","0,00"
"227480","God Mode","0,00"
"1726280","The Babysitter","0,00"
"231060","Ragnarok Online 2","0,00"
"918740","Flat Trip","0,00"
"1635420","Gatling! Playtest","0,00"
"1753170","DKLS","0,00"
"1366720","Vidiot Game","0,00"
"933660","In Memory","0,00"
"464000","Arcade Saga","0,00"
"1321840","Sword and Spirit","0,00"
"418290","Professor Teaches QuickBooks 2016","0,00"
"356670","Spooky's Jump Scare Mansion","0,00"
"495030","VR Battle Grid","0,00"
"1344950","Lone King","0,00"
"1956630","Sway","0,00"
"1410840","Crystal Call","0,00"
"1750970","Betty &amp; Earl Playtest","0,00"
"1617700","Runner Playtest","0,00"
"1714010","The Fortress of Varnolis","0,00"
"1633150","Doodle Champs Playtest","0,00"
"1651360","Fisticubes - One Button Boxing!","0,00"
"1152690","The Inn Between: Prologue","0,00"
"1954010","Escape from Deathmark Dungeon","0,00"
"1774560","Dead Transmission","0,00"
"1898730","Orbit.Industries Playtest","0,00"
"1836240","Paintball","0,00"
"849680","TimeTekker","0,00"
"726620","Kitty Rescue","0,00"
"2014820","Little Rhapsody of Game Playtest","0,00"
"1903640","Hex Rally Racers","0,00"
"1397140","The Last Show of Mr. Chardish: Act I","0,00"
"1241380","Project Reborn","0,00"
"708250","Lava Rolling Kid","0,00"
"1389540","Wesprau Senki","0,00"
"1629850","Orcs Must Die! 3 Playtest","0,00"
"1662680","UROS: A Trip Through Shadows","0,00"
"490230","SWARMRIDERS","0,00"
"885640","Lynne","0,00"
"1201640","Island Explorer VR","0,00"
"1632880","学院逃生","0,00"
"871100","Animyst","0,00"
"31290","Back to the Future: The Game","0,00"
"485660","Karma Miwa","0,00"
"204300","Awesomenauts - the 2D moba","0,00"
"1838610","Aground Zero Playtest","0,00"
"410390","Warhammer: Vermintide VR - Hero Trials","0,00"
"509420","Riding Club Championships","0,00"
"611020","CityBattle | Virtual Earth","0,00"
"1543790","The Last Friend: First Bite","0,00"
"893570","Short Life","0,00"
"912260","Gallery One","0,00"
"1697920","Polygon Wizards Playtest","0,00"
"464020","Super Puzzle Galaxy","0,00"
"660830","Tanks2.DE","0,00"
"356520","Port of Call","0,00"
"1440750","Splash","0,00"
"463250","One Tower","0,00"
"548760","CameraBag Photo","0,00"
"515700","Snowday","0,00"
"1358180","Gerrymander Madness","0,00"
"1934770","Edrick's Conquest Playtest","0,00"
"1773040","Crystal Project Playtest","0,00"
"1620470","Fish and Fight Playtest","0,00"
"1844450","TowerRPG Playtest","0,00"
"2077180","SCP: Daybreak","0,00"
"1669490","Jerma & Otto: The Curse of the Late Streamer","0,00"
"720380","Ancestors Legacy Free Peasant Edition","0,00"
"1057720","Shattered Lights","0,00"
"1645090","Spirit Bounce Playtest","0,00"
"501620","CyberLink PowerDirector 15 Ultimate","0,00"
"851650","LOGistICAL: ABC Islands","0,00"
"2074780","焰色方糖 flamed sugar","0,00"
"1475780","Battle Strike World War","0,00"
"2015900","The Last World Playtest","0,00"
"1393740","Vincula","0,00"
"1084520","雀姬/姫麻雀","0,00"
"1067110","Idle Chess Story","0,00"
"1713290","FleurBirdShoot","0,00"
"766250","Kaz Ball","0,00"
"1057850","Neon Boost","0,00"
"1997930","One Playtest","0,00"
"776390","Outbreak in Space VR - Free","0,00"
"826390","Haunted Manor: Painted Beauties Collector's Edition","0,00"
"581910","Iron Armada","0,00"
"445840","Undead vs Plants","0,00"
"979260","Gizmo","0,00"
"338540","Navy Field 2 : Conqueror of the Ocean","0,00"
"1408720","Krunker","0,00"
"1945810","Mind Diver (Student Version)","0,00"
"1862960","Vestige","0,00"
"876160","Occupy White Walls","0,00"
"1812820","Bitburner","0,00"
"742120","DRAGON QUEST® XI: Echoes of an Elusive Age™ - Digital Edition of Light","0,00"
"1992120","Gamebook Edgar A. Poe: The Oval Portrait","0,00"
"2004290","Instant War","0,00"
"1286830","STAR WARS™: The Old Republic™","0,00"
"72900","Winter Voices","0,00"
"1470010","Blood Oath: When The Sword Rises Playtest","0,00"
"1098040","Soulscape","0,00"
"645260","Trophy Fishing 2","0,00"
"491800","Across The Line","0,00"
"1541250","Super Raft Boat","0,00"
"372820","Shot In The Dark","0,00"
"1356460","Commander '85 Prologue","0,00"
"1939680","境界：斩魂之刃 Playtest","0,00"
"1405530","Prodeus Playtest","0,00"
"623880","World of Speed","0,00"
"1274140","One Dreamer: Prologue","0,00"
"1568540","Smithworks","0,00"
"805260","PICNIC","0,00"
"1646460","Gray Zone Playtest","0,00"
"1158980","Idle Big Devil","0,00"
"1207590","Builders of Egypt: Prologue","0,00"
"546390","Brief Karate Foolish","0,00"
"562840","Dragon Blood","0,00"
"1702440","Dwarf Prison Playtest","0,00"
"1573970","Souls of the Wind","0,00"
"824170","Relic Raiders","0,00"
"1926920","The Sinking Structure, Clione, and Lost Child -Log5","0,00"
"1408100","Penimorta","0,00"
"1877580","Panicked and Surrounded by Hot Vampires","0,00"
"1489280","鬼谷八荒 Playtest","0,00"
"1857320","SpeedingRoad Playtest","0,00"
"1548870","MOENTO - Modular Environment Toolkit","0,00"
"1481580","Milkyway Funland","0,00"
"1978950","There’s no Light Playtest","0,00"
"1492350","First Class Trouble Playtest","0,00"
"947940","SCP: Nukalypse","0,00"
"852340","King Rabbit - Puzzle","0,00"
"1689750","武者斗天师","0,00"
"274130","Rambo The Video Game + Baker Team DLC","0,00"
"293200","Sentinel","0,00"
"1590360","He Needs His Medicine","0,00"
"1903270","Sunset World Online","0,00"
"495770","Free Balling","0,00"
"863400","Feud","0,00"
"1772170","Golf Club Architect Playtest","0,00"
"885470","Wired","0,00"
"971210","ChronoBreach","0,00"
"673590","Amazing Thailand VR Experience","0,00"
"108210","Memoir '44 Online","0,00"
"649890","Caliban Below","0,00"
"1434340","Insect Adventure Demo","0,00"
"495750","Reckpunk","0,00"
"689790","VEGAS Pro 15 Edit Steam Edition","0,00"
"2060380","Trifox Playtest","0,00"
"1294720","Balloon Blast","0,00"
"1821140","Bounceables","0,00"
"738060","Freddy Fazbear's Pizzeria Simulator","0,00"
"765480","Karambola","0,00"
"891960","WebbVR: The James Webb Space Telescope Virtual Experience","0,00"
"1091010","Dark Swords","0,00"
"272060","Serena","0,00"
"530560","STEAM HAMMER","0,00"
"357730","VR Karts","0,00"
"1212730","トトのおもちゃばこ","0,00"
"684210","7","0,00"
"1406740","DumbBots: Hello World","0,00"
"466220","Kingdom of Loot","0,00"
"17500","Zombie Panic! Source","0,00"
"550520","B. Braun Future Operating Room","0,00"
"1554860","Cognition Method: Initiation","0,00"
"890400","Uncharted Waters Online","0,00"
"1581460","GRIT Playtest","0,00"
"1173650","SWEET MILF","0,00"
"890070","秋色的記憶(體驗版) / Fall...in Love (Demo)","0,00"
"1167790","绝望监牢 / 絶望プリズン","0,00"
"1259150","Plan V: Virtual Studio","0,00"
"927990","A Game About","0,00"
"777890","Primitive","0,00"
"1293880","Boo's Balloons","0,00"
"744390","Yago, the Coquerrestrial","0,00"
"1314160","Rover Mechanic Simulator: Training Day","0,00"
"674690","Project Xandata","0,00"
"1302110","Inertial Drift: Sunset Prologue","0,00"
"533540","MONMUSU","0,00"
"1440890","Fear Protocol: Codename Omega Starring Agent Jack Banger","0,00"
"730","Counter-Strike: Global Offensive","0,00"
"856550","Stabby Machine","0,00"
"1189850","鶴鄉戀旅","0,00"
"1138020","Merge","0,00"
"598860","MAGIX Video Pro X8 Steam Edition","0,00"
"1526520","大秦帝国","0,00"
"714970","Metonymy","0,00"
"1918080","Path Of Destruction","0,00"
"1960380","čeke ceké","0,00"
"1778850","Monster Adventure","0,00"
"1179680","Wurm Online","0,00"
"1433120","STAR WARS™: The Old Republic™ - Public Test Server","0,00"
"1083480","Armadusa","0,00"
"1444110","Summerland","0,00"
"1947370","Siege Engine Arena Playtest","0,00"
"1480150","Assimilate! (A Party Game) Playtest","0,00"
"1460550","Ring of Titans","0,00"
"1091170","Face Your Demons","0,00"
"1974400","Ultimate Obstacle Course - Prologue","0,00"
"1382910","Hell Architect: Prologue","0,00"
"714010","Aim Lab","0,00"
"1440090","Viewergames Arcade","0,00"
"1036340","Hit n' Rush","0,00"
"1969130","Trash Patrol - Academic Version","0,00"
"1865440","Cave Crawler","0,00"
"938050","The Anomaly","0,00"
"848340","AGE 1.2","0,00"
"454600","Age of Cavemen","0,00"
"1470080","NEX:OS Playtest","0,00"
"1849190","I AM BUTTER VR","0,00"
"1760900","Hackshot Playtest","0,00"
"719730","Uptasia","0,00"
"1049800","BLOCKADE","0,00"
"1448200","Laser Skirmish","0,00"
"212500","The Lord of the Rings Online™","0,00"
"2022270","Bakso Simulator","0,00"
"778000","The SOL Device","0,00"
"468530","A Date in the Park","0,00"
"738310","The VU","0,00"
"1962600","Four Course Dungeon","0,00"
"2083770","Alight in the Dark Playtest","0,00"
"777250","The Tavern of Magic","0,00"
"1150650","War Theatre: Blood of Winter","0,00"
"1538020","Battle Map Studio Playtest","0,00"
"1073400","Tiger Tank 59 Ⅰ Winter Assault","0,00"
"1465860","*NEW* SCUFFED EPIC BHOP SIMULATOR 2023 (POG CHAMP)","0,00"
"789540","The Adventures of Nick & Willikins","0,00"
"455440","Spell Fighter VR","0,00"
"643270","OLDTV","0,00"
"1567030","Retail Royale Playtest","0,00"
"613620","Hoverloop","0,00"
"352310","CA-2A T-Type Leveling Amplifier","0,00"
"214630","Call of Duty: Black Ops - Mac Edition","0,00"
"1161770","Breeders of the Nephelym: Alpha","0,00"
"1776130","Stay Alive On The Tank: Explosive Shells In The Darkness Playtest","0,00"
"1430690","Stay Safe 2020","0,00"
"2018340","Special Gulag Rescue Operation","0,00"
"592740","Drift 7 Islands (survival)","0,00"
"578470","Break Time!","0,00"
"1858860","Solitarius","0,00"
"486460","Twilight Town","0,00"
"1918590","Planet-A","0,00"
"1647100","Blight Playtest","0,00"
"1629460","Autonima Playtest","0,00"
"1003940","Invasion Zero","0,00"
"1472250","ROG CITADEL XV","0,00"
"1928070","Rightfully, Beary Arms Playtest","0,00"
"1071080","Lapya","0,00"
"1921400","Note Brawl Playtest","0,00"
"728730","Holyday City: Reloaded","0,00"
"510660","Big Bang Empire","0,00"
"1364960","Hello Neighbor 2 Alpha 1.5","0,00"
"809250","BEKKOUAME","0,00"
